NO_ENTIDADE,CO_ENTIDADE,latitude,longitude,total_alunos,QT_MAT_INF_CRE,QT_MAT_INF_PRE,QT_MAT_FUND_AI,QT_MAT_FUND_AF,QT_MAT_MED,QT_MAT_PROF
COLEGIO ULBRA PALMAS,17026156,-10.1843255,-48.3168199,356.0,0.0,0.0,88.0,126.0,142.0,0.0
COLEGIO PALMAS LTDA ME,17026237,-10.2187148,-48.33262269999999,295.0,0.0,0.0,0.0,136.0,159.0,0.0
ACAO SOCIAL SANTA TEREZINHA DE PALMAS,17038936,-10.1655401,-48.345824,39.0,26.0,13.0,0.0,0.0,0.0,0.0
ESCOLA ESPECIAL INTEGRACAO DE PALMAS,17040906,-10.2246731,-48.3201766,35.0,0.0,0.0,35.0,0.0,0.0,0.0
COLEGIO COC PALMAS,17044200,-10.1962475,-48.3320208,652.0,8.0,48.0,191.0,218.0,187.0,0.0
COLEGIO ALBERT EINSTEIN,17044901,-10.249091,-48.32428580000001,406.0,0.0,0.0,268.0,138.0,0.0,0.0
COLEGIO BATISTA DE PALMAS - ASSOCIACAO CULTURAL EVANGELICA DE BRASILIA,17046777,-10.2269997,-48.326745,496.0,18.0,51.0,239.0,188.0,0.0,0.0
COLEGIO MARISTA PALMAS,17046807,-10.1913182,-48.3123376,785.0,39.0,90.0,295.0,198.0,163.0,0.0
ESCOLA ADVENTISTA DE PALMAS,17047420,-10.1949773,-48.3113451,1187.0,74.0,125.0,553.0,435.0,0.0,0.0
COLEGIO MADRE CLELIA MERLONI,17050030,-10.1821264,-48.3105021,1116.0,91.0,173.0,504.0,348.0,0.0,0.0
CENTRO EDUCACIONAL PINGO DE GENTE,17050090,-10.249091,-48.32428580000001,420.0,0.0,64.0,236.0,120.0,0.0,0.0
COLEGIO CRIATIVO PALMAS,17050308,-10.249091,-48.32428580000001,113.0,14.0,22.0,77.0,0.0,0.0,0.0
CENTRO EDUCACIONAL SAO FRANCISCO DE ASSIS,17052564,-10.1841033,-48.3181676,1052.0,18.0,65.0,425.0,342.0,202.0,0.0
SERVICO SOCIAL DO COMERCIO- SESC ESCOLA,17053196,-10.1614558,-48.3219722,309.0,51.0,72.0,186.0,0.0,0.0,0.0
UPERIMM INSTITUTO DE ENSINO LTDA,17054079,-10.2466187,-48.3317387,813.0,42.0,78.0,252.0,279.0,162.0,0.0
CENTRO EDUCACIONAL PRISMA,17054265,-10.333466,-48.287665,187.0,0.0,8.0,108.0,71.0,0.0,0.0
COLEGIO MARANATA,17054486,-10.3033484,-48.3026773,91.0,0.0,12.0,79.0,0.0,0.0,0.0
CENTRO DE ENSINO INTEGRADO DAS AMERICAS - ESCOLA MAPLE BEAR DE PALMAS,17055350,-10.249091,-48.32428580000001,534.0,85.0,125.0,221.0,77.0,26.0,0.0
COLEGIO NABLA E VESTIBULARES,17055539,-10.1834384,-48.3190784,92.0,0.0,0.0,0.0,11.0,81.0,0.0
COLEGIO INTERACAO VOZES ATIVAS - UNIDADE TEOTONIO,17055830,-10.188568,-48.333349,363.0,0.0,0.0,86.0,277.0,0.0,0.0
PEQUENINOS SOCIEDADE EDUCACIONAL,17055938,-10.2420575,-48.3239966,24.0,0.0,0.0,24.0,0.0,0.0,0.0
COLEGIO PRESBITERIANO MACKENZIE PALMAS,17055962,-10.1874571,-48.3198255,705.0,17.0,76.0,265.0,228.0,119.0,0.0
CENTRO EDUCACIONAL CONCEITO,17056063,-10.316381,-48.300845,217.0,7.0,30.0,80.0,70.0,30.0,0.0
COLEGIO DOM BOSCO TAQUARALTO,17056420,-10.3442787,-48.2928402,341.0,23.0,50.0,108.0,96.0,64.0,0.0
COLEGIO OLIMPO PALMAS INTEGRAL,17056446,-10.1808232,-48.3093942,578.0,0.0,0.0,0.0,301.0,277.0,0.0
COLEGIO INTERACAO VOZES ATIVAS UNIDADE II,17056527,-10.188568,-48.333349,367.0,0.0,0.0,0.0,0.0,367.0,0.0
CENTRO EDUCACIONAL NJC,17056586,-10.249091,-48.32428580000001,194.0,0.0,0.0,0.0,93.0,101.0,0.0
COLEGIO DOM BOSCO ORIGINAL LTDA,17056756,-10.218942,-48.3326964,318.0,44.0,76.0,198.0,0.0,0.0,0.0
CENTRO EDUCACIONAL ENCANTO,17056845,-10.2085456,-48.3450014,169.0,32.0,48.0,89.0,0.0,0.0,0.0
ESCOLA ESPIRITA CHICO XAVIER,17056861,-10.3201646,-48.3196494,14.0,0.0,0.0,14.0,0.0,0.0,0.0
COLEGIO OLIMPO PALMAS INTEGRAL - KIDS,17056900,-10.1808232,-48.3093942,201.0,9.0,36.0,156.0,0.0,0.0,0.0
INSTITUTO TOCANTINENSE DE EDUCACAO SUPERIOR E PESQUISA LTDA,17056942,-10.249091,-48.32428580000001,117.0,0.0,0.0,0.0,33.0,84.0,0.0
ALFABETHUS CENTRO EDUCACIONAL,17057167,-10.2085456,-48.3450014,192.0,19.0,58.0,115.0,0.0,0.0,0.0
ESCOLA VAGALUME,17057230,-10.1953763,-48.3604682,320.0,84.0,79.0,157.0,0.0,0.0,0.0
BERCARIO RECRIAR LTDA,17057248,-10.249091,-48.32428580000001,111.0,94.0,17.0,0.0,0.0,0.0,0.0
ESPACO INFANTIL CASA DE VO,17057256,-10.2624599,-48.3211697,17.0,14.0,3.0,0.0,0.0,0.0,0.0
CENTRO EDUCACIONAL LAPIS DE COR,17057264,-10.249091,-48.32428580000001,27.0,20.0,7.0,0.0,0.0,0.0,0.0
NENA KIDS,17057272,-10.314663,-48.31414700000001,30.0,0.0,0.0,30.0,0.0,0.0,0.0
CENTRO EDUCACIONAL AQUARELA,17066409,-10.2087013,-48.34473819999999,308.0,20.0,67.0,221.0,0.0,0.0,0.0
CENTRO EDUCACIONAL INFANTIL ALEGRIA E CIA,17068207,-10.2123719,-48.3295244,92.0,54.0,38.0,0.0,0.0,0.0,0.0
COLEGIO POLIVALENTE DE PALMAS,17081807,-10.3197618,-48.3163975,91.0,14.0,17.0,60.0,0.0,0.0,0.0
CENTRO EDUCACIONAL GENESIS,17094810,-10.2085456,-48.3450014,269.0,14.0,37.0,147.0,71.0,0.0,0.0
ASSOCIACAO SANTA MARCELINA,17127807,-10.18417,-48.3371661,138.0,73.0,65.0,0.0,0.0,0.0,0.0
ESCOLA ADVENTISTA PALMAS SUL,17057531,-10.1949773,-48.3113451,254.0,44.0,63.0,147.0,0.0,0.0,0.0
